theta time VICON_theta
-10 1.20696 -0.188213
-10 1.21191 -0.188102
-10 1.21695 -0.188093
-10 1.22192 -0.188259
-10 1.22686 -0.188145
-10 1.23204 -0.188101
-10 1.2369 -0.188196
-10 1.24187 -0.188192
-10 1.24693 -0.18823
-10 1.25187 -0.188233
-10 1.2569 -0.188248
-10 1.26188 -0.18828
-10 1.26694 -0.188206
-10 1.27188 -0.188378
-10 1.27689 -0.188307
-10 1.2819 -0.188334
-10 1.28696 -0.188512
-10 1.29195 -0.188333
-10 1.29697 -0.188429
-10 1.30203 -0.188397
-10 1.30711 -0.188594
-10 1.31202 -0.188531
-10 1.31702 -0.188549
-10 1.32191 -0.188656
-10 1.32687 -0.188493
-10 1.33223 -0.188583
-10 1.33701 -0.188559
-10 1.34194 -0.188546
-10 1.34697 -0.188541
-10 1.36718 -0.18877
-10 1.3672 -0.18877
-10 1.37187 -0.188706
-10 1.3769 -0.188628
-10 1.3819 -0.188738
-10 1.38696 -0.188677
-10 1.392 -0.188613
-10 1.39698 -0.188627
-10 1.40197 -0.188598
-10 1.40694 -0.188565
-10 1.41194 -0.188594
-10 1.41697 -0.188508
-10 1.42194 -0.188503
-10 1.42694 -0.188542
-10 1.43195 -0.18852
-10 1.43689 -0.188516
-10 1.44187 -0.188455
-10 1.4469 -0.188506
-10 1.45195 -0.188306
-10 1.45694 -0.188287
-10 1.4619 -0.188342
-10 1.46712 -0.188174
-10 1.47192 -0.188264
-10 1.47695 -0.188256
-10 1.48195 -0.188302
-10 1.49946 -0.188223
-10 1.49948 -0.188223
-10 1.50231 -0.188165
-10 1.50696 -0.188082
-10 1.51198 -0.188098
-10 1.51697 -0.18818
-10 1.52196 -0.188196
-10 1.52689 -0.188155
-10 1.53188 -0.188155
-10 1.53686 -0.188198
-10 1.54186 -0.188055
-10 1.54692 -0.188142
-10 1.5519 -0.188129
-10 1.55686 -0.188121
-10 1.56193 -0.188154
-10 1.56688 -0.188115
-10 1.58267 -0.188363
-10 1.58268 -0.188363
-10 1.5869 -0.188136
-10 1.59189 -0.188323
-10 1.59735 -0.18827
-10 1.60197 -0.188234
-10 1.60703 -0.18835
-10 1.61198 -0.188443
-10 1.617 -0.188428
-10 1.62198 -0.18844
-10 1.62698 -0.188309
-10 1.63197 -0.188385
-10 1.63692 -0.188467
-10 1.64188 -0.188494
-10 1.64687 -0.188513
-10 1.65217 -0.188524
-10 1.6569 -0.188576
-10 1.66192 -0.18857
-10 1.66724 -0.18857
-10 1.67188 -0.188544
-10 1.67686 -0.18863
-10 1.68188 -0.188536
-10 1.70064 -0.188588
-10 1.70065 -0.188588
-10 1.70287 -0.18867
-10 1.70687 -0.188667
-10 1.71188 -0.188696
-10 1.7169 -0.188637
-10 1.72194 -0.188703
-10 1.7269 -0.188665
-10 1.73216 -0.188588
-10 1.73692 -0.188549
-10 1.74187 -0.188563
-10 1.74692 -0.188489
-10 1.75194 -0.188498
-10 1.75694 -0.188549
-10 1.76194 -0.188301
-10 1.76699 -0.188437
-10 1.78278 -0.188321
-10 1.7828 -0.188321
-10 1.78694 -0.188431
-10 1.79193 -0.188379
-10 1.79713 -0.188222
-10 1.80193 -0.188192
-10 1.80695 -0.188187
-10 1.8119 -0.18825
-10 1.81688 -0.188188
-10 1.82192 -0.188178
-10 1.82696 -0.188178
-10 1.83209 -0.188279
-10 1.83691 -0.188206
-10 1.84192 -0.18821
-10 1.84701 -0.188194
-10 1.85198 -0.188109
-10 1.85704 -0.188065
-10 1.8619 -0.188154
-10 1.86699 -0.188218
-10 1.87191 -0.188213
-10 1.87689 -0.188314
-10 1.88193 -0.188239
-10 1.90085 -0.188231
-10 1.90086 -0.188231
-10 1.90186 -0.188175
-10 1.90688 -0.188222
-10 1.91187 -0.188106
-10 1.91689 -0.188235
-10 1.92188 -0.188336
-10 1.9269 -0.188318
-10 1.93193 -0.188261
-10 1.93694 -0.188389
-10 1.94191 -0.188416
-10 1.94688 -0.188446
-10 1.9523 -0.188479
-10 1.95689 -0.188518
-10 1.96194 -0.188339
-10 1.96697 -0.188352
-10 1.97194 -0.188357
-10 1.97696 -0.188452
-10 1.98194 -0.188445
-10 1.98699 -0.188531
-10 1.99192 -0.188466
-10 1.99692 -0.188509
-10 2.00192 -0.188562
-10 2.00687 -0.188684
-10 2.01194 -0.188629
-10 2.01692 -0.188648
-10 2.03405 -0.188647
-10 2.03406 -0.188647
-10 2.03689 -0.188473
-10 2.04191 -0.188462
-10 2.04687 -0.188551
-10 2.05189 -0.188492
-10 2.05689 -0.18867
-10 2.06345 -0.188585
-10 2.06688 -0.18865
-10 2.07189 -0.188609
-10 2.07686 -0.18858
-10 2.08185 -0.188548
-10 2.08693 -0.188623
-10 2.09189 -0.188523
-10 2.09696 -0.188527
-10 2.10212 -0.18846
-10 2.1069 -0.188578
-10 2.11188 -0.188468
-10 2.11695 -0.188491
-10 2.13322 -0.188335
-10 2.13323 -0.188335
-10 2.13694 -0.188516
-10 2.14188 -0.188457
-10 2.14691 -0.188444
-10 2.15189 -0.188405
-10 2.15688 -0.188313
-10 2.16189 -0.188375
-10 2.16692 -0.188254
-10 2.17204 -0.188356
-10 2.17686 -0.188348
-10 2.18189 -0.188267
-10 2.18689 -0.18836
-10 2.19188 -0.18825
-10 2.19703 -0.188285
-10 2.20198 -0.188302
-10 2.20694 -0.188389
-10 2.21187 -0.18821
-10 2.21694 -0.188426
-10 2.2219 -0.188242
-10 2.22695 -0.18825
-10 2.23189 -0.188229
-10 2.23689 -0.188212
-10 2.24192 -0.188248
-10 2.24699 -0.188386
-10 2.25197 -0.188131
-10 2.25699 -0.188167
-10 2.26199 -0.18827
-10 2.26702 -0.188203
-10 2.28294 -0.18846
-10 2.28297 -0.18846
-10 2.28696 -0.188388
-10 2.29196 -0.188362
-10 2.29693 -0.188414
-10 2.30408 -0.188414
-10 2.30689 -0.188457
-10 2.31187 -0.188506
-10 2.31688 -0.188429
-10 2.3219 -0.188411
-10 2.32687 -0.188463
-10 2.33189 -0.188426
-10 2.33695 -0.188362
-10 2.34187 -0.188613
-10 2.34687 -0.18844
-10 2.35194 -0.188548
-10 2.35688 -0.188478
-10 2.36187 -0.188616
-10 2.3669 -0.188658
-10 2.37189 -0.188711
-10 2.37687 -0.188607
-10 2.38192 -0.188472
-10 2.3869 -0.188558
-10 2.3919 -0.188619
-10 2.39693 -0.188547
-10 2.40188 -0.188552
-10 2.40707 -0.188616
-10 2.41188 -0.188662
-10 2.41687 -0.18862
-10 2.42187 -0.188541
-10 2.42689 -0.188564
-10 2.43271 -0.188425
-10 2.45098 -0.188538
-10 2.45099 -0.188538
-10 2.45191 -0.188674
-10 2.45691 -0.188465
-10 2.46189 -0.18849
-10 2.46703 -0.188521
-10 2.47213 -0.18843
-10 2.47689 -0.188404
-10 2.48187 -0.188491
-10 2.49987 -0.188363
-10 2.49989 -0.188363
-10 2.5019 -0.188368
-10 2.50693 -0.188357
-10 2.51218 -0.188503
-10 2.51701 -0.188457
-10 2.52202 -0.188375
-10 2.52697 -0.188336
-10 2.53259 -0.188249
-10 2.537 -0.188299
-10 2.54191 -0.188389
-10 2.54688 -0.188393
-10 2.55188 -0.188285
-10 2.55688 -0.188174
-10 2.56205 -0.18832
-10 2.56697 -0.188149
-10 2.58316 -0.188327
-10 2.58318 -0.188327
-10 2.58693 -0.188353
-10 2.59269 -0.188324
-10 2.59692 -0.188316
-10 2.60192 -0.188316
-10 2.60694 -0.188356
-10 2.61189 -0.188336
-10 2.61695 -0.188373
-10 2.6219 -0.188327
-10 2.62692 -0.188371
-10 2.63248 -0.188352
-10 2.65117 -0.188505
-10 2.65119 -0.188505
-10 2.65189 -0.188519
-10 2.65704 -0.188469
-10 2.66201 -0.18853
-10 2.66713 -0.188501
-10 2.67195 -0.188559
-10 2.6771 -0.188584
-10 2.682 -0.188521
-10 2.68694 -0.188552
-10 2.69188 -0.188678
-10 2.69692 -0.188536
-10 2.70243 -0.188685
-10 2.70699 -0.188537
-10 2.71197 -0.188537
-10 2.7169 -0.188671
-10 2.72187 -0.188647
-10 2.72686 -0.188684
-10 2.73251 -0.188456
-10 2.73688 -0.188551
-10 2.74189 -0.18859
-10 2.74687 -0.188609
-10 2.75193 -0.188644
-10 2.75691 -0.188624
-10 2.76195 -0.188639
-10 2.76703 -0.188609
-10 2.78331 -0.188522
-10 2.78333 -0.188522
-10 2.78697 -0.188564
-10 2.792 -0.188677
-10 2.79711 -0.188647
-10 2.80202 -0.188434
-10 2.8179 -0.18854
-10 2.81791 -0.18854
-10 2.82187 -0.188446
-10 2.82688 -0.188479
-10 2.83245 -0.188433
-10 2.83695 -0.188379
-10 2.842 -0.188172
-10 2.84687 -0.188472
-10 2.85189 -0.18836
-10 2.85688 -0.188456
-10 2.86187 -0.188394
-10 2.86689 -0.188336
-10 2.87193 -0.188291
-10 2.87691 -0.188364
-10 2.88188 -0.188276
-10 2.88688 -0.188325
-10 2.89191 -0.188388
-10 2.89708 -0.188298
-10 2.9019 -0.188335
-10 2.90689 -0.188176
-10 2.91195 -0.188199
-10 2.91689 -0.18835
-10 2.9219 -0.188362
-10 2.92689 -0.188357
-10 2.93232 -0.188231
-10 2.9369 -0.188202
-10 2.94188 -0.188202
-10 2.94686 -0.188249
-10 2.95198 -0.188309
-10 2.95687 -0.188299
-10 2.96186 -0.188277
-10 2.96689 -0.188286
-10 2.97231 -0.188507
-10 2.97686 -0.188356
-10 2.98187 -0.188406
-10 2.98687 -0.188472
-10 2.99188 -0.188368
-10 2.9969 -0.188519
-10 3.00192 -0.188512
-10 3.00688 -0.188543
-10 3.01186 -0.188483
-10 3.01687 -0.188427
-10 3.02192 -0.188538
-10 3.02688 -0.188458
-10 3.03194 -0.188508
-10 3.03692 -0.188501
-10 3.04191 -0.188521
-10 3.04687 -0.188644
-10 3.05187 -0.188587
-10 3.05691 -0.188573
-10 3.06194 -0.188619
-10 3.06695 -0.188546
-10 3.07199 -0.188684
-10 3.07699 -0.18872
-10 3.08196 -0.188621
-10 3.08694 -0.188695
-10 3.09193 -0.188642
