theta time Kinect_theta
-10 12.1501 -0.247284
-10 12.2062 -0.256223
-10 12.2635 -0.250462
-10 12.3176 -0.250147
-10 12.3729 -0.251382
-10 12.4274 -0.244552
-10 12.4813 -0.242527
-10 12.5384 -0.245537
-10 12.5935 -0.247448
-10 12.6528 -0.248968
-10 12.7128 -0.245915
-10 12.7726 -0.241535
-10 12.8237 -0.247125
-10 12.884 -0.244848
-10 12.9333 -0.247709
-10 12.9952 -0.250064
-10 13.0555 -0.247259
-10 13.1149 -0.244493
-10 13.1744 -0.242633
-10 13.2351 -0.243841
-10 13.2948 -0.248374
-10 13.3547 -0.247086
-10 13.4146 -0.250562
-10 13.4755 -0.245314
-10 13.5353 -0.239732
-10 13.5953 -0.246505
-10 13.6479 -0.248284
-10 13.7089 -0.248323
-10 13.7687 -0.249313
-10 13.8277 -0.253487
-10 13.8797 -0.24839
-10 13.9309 -0.248811
-10 13.9859 -0.250226
-10 14.0469 -0.251393
-10 14.1072 -0.254241
-10 14.1683 -0.246138
-10 14.2289 -0.246334
-10 14.2875 -0.249342
-10 14.3385 -0.249361
-10 14.3902 -0.249089
-10 14.4416 -0.248183
-10 14.4928 -0.250116
-10 14.5446 -0.24347
-10 14.596 -0.24563
-10 14.6481 -0.250635
-10 14.6988 -0.251144
-10 14.7513 -0.246312
-10 14.8031 -0.246101
-10 14.8538 -0.244944
-10 14.9049 -0.249552
-10 14.9556 -0.245891
-10 15.0066 -0.250314
-10 15.0585 -0.251106
-10 15.1096 -0.251283
-10 15.1617 -0.246107
-10 15.2132 -0.24276
-10 15.2626 -0.244998
-10 15.3126 -0.24687
-10 15.3619 -0.250547
-10 15.4128 -0.24629
-10 15.462 -0.242966
-10 15.5127 -0.244385
-10 15.5611 -0.244261
-10 15.611 -0.246494
-10 15.6617 -0.247031
-10 15.7235 -0.248543
-10 15.7838 -0.247039
-10 15.8421 -0.243168
-10 15.8938 -0.242979
-10 15.945 -0.241427
-10 15.9952 -0.24784
-10 16.0479 -0.250697
-10 16.1004 -0.248732
-10 16.1489 -0.248168
-10 16.2038 -0.249099
-10 16.2584 -0.249167
-10 16.3095 -0.24375
-10 16.3638 -0.250699
-10 16.4186 -0.250493
-10 16.471 -0.24653
-10 16.5239 -0.247386
-10 16.5788 -0.240773
-10 16.6331 -0.243911
-10 16.6883 -0.24824
-10 16.7414 -0.246696
-10 16.7924 -0.253393
-10 16.8442 -0.24942
-10 16.8942 -0.25082
-10 16.9471 -0.243543
-10 16.9989 -0.242868
-10 17.0506 -0.244668
-10 17.1022 -0.250257
-10 17.1529 -0.249951
-10 17.2052 -0.249509
-10 17.2603 -0.250217
-10 17.3112 -0.24963
-10 17.3635 -0.24452
-10 17.4155 -0.251782
-10 17.4677 -0.246238
-10 17.5204 -0.246001
-10 17.5715 -0.249963
-10 17.6237 -0.24789
-10 17.6794 -0.243542
-10 17.7307 -0.247355
-10 17.7823 -0.251366
-10 17.834 -0.251236
-10 17.8854 -0.247479
-10 17.9365 -0.246682
-10 17.988 -0.247716
-10 18.0388 -0.247993
-10 18.0904 -0.244416
-10 18.1419 -0.24885
-10 18.1929 -0.251889
-10 18.2452 -0.251291
-10 18.2963 -0.251643
-10 18.3475 -0.249366
-10 18.399 -0.248695
-10 18.4507 -0.246571
-10 18.5031 -0.252026
-10 18.5552 -0.24667
-10 18.6062 -0.248325
-10 18.6586 -0.246962
-10 18.7107 -0.243938
-10 18.7633 -0.244563
-10 18.8167 -0.252365
-10 18.8706 -0.251365
-10 18.9259 -0.252255
-10 18.9812 -0.248803
-10 19.0365 -0.246081
-10 19.0876 -0.244547
-10 19.1388 -0.243306
-10 19.191 -0.247177
-10 19.2415 -0.247963
-10 19.2929 -0.249229
-10 19.344 -0.247139
-10 19.3964 -0.249025
-10 19.4474 -0.248009
-10 19.499 -0.244279
-10 19.55 -0.245662
-10 19.6002 -0.24909
-10 19.6512 -0.250902
-10 19.7019 -0.245148
-10 19.7525 -0.246701
-10 19.8055 -0.238313
-10 19.8561 -0.249293
-10 19.907 -0.250233
-10 19.9578 -0.246807
-10 20.0098 -0.244966
-10 20.0616 -0.24342
-10 20.1125 -0.242445
-10 20.1649 -0.247457
-10 20.2169 -0.241635
-10 20.2675 -0.252744
-10 20.3183 -0.246708
-10 20.369 -0.246663
