theta time Kinect_theta
-02 11.0126 -0.0105268
-02 11.0713 -0.00395213
-02 11.1294 -0.00424511
-02 11.1874 -0.0215342
-02 11.2482 -0.00968523
-02 11.3066 -0.00763607
-02 11.3639 -0.0141904
-02 11.416 -0.0149857
-02 11.4656 -0.0137516
-02 11.5147 -0.0129982
-02 11.5631 -0.0116566
-02 11.6122 -0.00650291
-02 11.6612 -0.00784727
-02 11.7106 -0.0111351
-02 11.7598 -0.0136334
-02 11.808 -0.0159591
-02 11.8562 -0.0151634
-02 11.9059 -0.0129792
-02 11.9541 -0.0150041
-02 12.0035 -0.016936
-02 12.0518 -0.0103567
-02 12.1003 -0.0118803
-02 12.1489 -0.0122024
-02 12.198 -0.0118017
-02 12.2465 -0.00955479
-02 12.295 -0.0124503
-02 12.3431 -0.0168379
-02 12.3912 -0.0147773
-02 12.4394 -0.0125032
-02 12.4877 -0.0121272
-02 12.5371 -0.0168845
-02 12.5851 -0.0123131
-02 12.6332 -0.0101033
-02 12.6909 -0.00561794
-02 12.7507 -0.0161784
-02 12.8092 -0.0159613
-02 12.8685 -0.0125073
-02 12.9273 -0.0103676
-02 12.9848 -0.0134405
-02 13.0426 -0.00229951
-02 13.1012 -0.0191223
-02 13.1603 -0.0111348
-02 13.2212 -0.0133206
-02 13.2787 -0.0138905
-02 13.3364 -0.0135568
-02 13.3944 -0.0222637
-02 13.4582 -0.0257393
-02 13.5167 -0.00915567
-02 13.575 -0.01526
-02 13.6343 -0.0103066
-02 13.6926 -0.0201741
-02 13.7509 -0.011968
-02 13.8083 -0.0135137
-02 13.8663 -0.0181345
-02 13.9186 -0.0159127
-02 13.9673 -0.0153835
-02 14.0263 -0.00953121
-02 14.0849 -0.0172829
-02 14.1439 -0.01853
-02 14.2019 -0.0188235
-02 14.2605 -0.0111169
-02 14.309 -0.0142383
-02 14.3641 -0.0137534
-02 14.414 -0.013254
-02 14.4643 -0.0188024
-02 14.5142 -0.0182826
-02 14.5651 -0.0189398
-02 14.6164 -0.00628771
-02 14.6667 -0.0124349
-02 14.7166 -0.00280439
-02 14.7666 -0.0261328
-02 14.8168 -0.0256829
-02 14.8661 -0.0178947
-02 14.9162 -0.0157023
-02 14.9672 -0.00924233
-02 15.0184 -0.00328763
-02 15.0693 -0.0121609
-02 15.1202 -0.0182623
-02 15.1716 -0.0195791
-02 15.2223 -0.0198455
