theta time VICON_theta
-10 1.18129 -0.246714
-10 1.18497 -0.246561
-10 1.18992 -0.246574
-10 1.19489 -0.246742
-10 1.19996 -0.246705
-10 1.20498 -0.246786
-10 1.20998 -0.246699
-10 1.21543 -0.246634
-10 1.22011 -0.246625
-10 1.22497 -0.246707
-10 1.22989 -0.246683
-10 1.24918 -0.246631
-10 1.24919 -0.246631
-10 1.24988 -0.246634
-10 1.25518 -0.246701
-10 1.25991 -0.246689
-10 1.26503 -0.24668
-10 1.2699 -0.246653
-10 1.27488 -0.246694
-10 1.281 -0.246646
-10 1.28516 -0.246628
-10 1.2899 -0.246732
-10 1.29488 -0.24663
-10 1.29988 -0.246745
-10 1.30491 -0.246631
-10 1.30989 -0.246741
-10 1.31491 -0.246719
-10 1.33121 -0.246633
-10 1.33122 -0.246633
-10 1.33486 -0.246652
-10 1.33985 -0.246697
-10 1.34485 -0.246624
-10 1.35001 -0.246687
-10 1.35489 -0.246747
-10 1.35985 -0.246636
-10 1.36491 -0.246778
-10 1.36987 -0.246814
-10 1.37485 -0.246756
-10 1.37986 -0.246768
-10 1.38499 -0.246641
-10 1.38987 -0.246692
-10 1.39487 -0.24672
-10 1.39989 -0.246662
-10 1.40487 -0.246609
-10 1.40985 -0.246639
-10 1.41505 -0.246764
-10 1.41996 -0.246619
-10 1.42488 -0.246592
-10 1.42985 -0.246645
-10 1.43488 -0.246749
-10 1.43987 -0.246592
-10 1.44486 -0.246579
-10 1.44995 -0.246707
-10 1.4549 -0.246725
-10 1.45986 -0.246646
-10 1.46488 -0.246696
-10 1.46986 -0.246681
-10 1.47486 -0.246619
-10 1.48068 -0.246742
-10 1.48491 -0.246642
-10 1.48984 -0.246674
-10 1.49485 -0.246643
-10 1.49986 -0.246636
-10 1.50487 -0.246671
-10 1.50988 -0.246706
-10 1.51483 -0.246589
-10 1.5199 -0.246675
-10 1.52487 -0.246635
-10 1.52985 -0.246625
-10 1.53488 -0.246653
-10 1.53986 -0.246706
-10 1.54485 -0.246712
-10 1.54999 -0.246721
-10 1.5647 -0.246658
-10 1.56472 -0.246658
-10 1.56487 -0.246678
-10 1.56994 -0.246668
-10 1.575 -0.246691
-10 1.57994 -0.246773
-10 1.58504 -0.246666
-10 1.58994 -0.246736
-10 1.59497 -0.246628
-10 1.59994 -0.246651
-10 1.60494 -0.246679
-10 1.60997 -0.246661
-10 1.615 -0.246729
-10 1.62001 -0.246704
-10 1.62495 -0.24678
-10 1.62988 -0.246794
-10 1.64927 -0.246626
-10 1.64928 -0.246626
-10 1.64989 -0.246655
