theta time VICON_theta
-02 1.12998 -0.0194135
-02 1.13496 -0.019337
-02 1.13999 -0.0194583
-02 1.14496 -0.0193099
-02 1.14997 -0.0193851
-02 1.15498 -0.0193226
-02 1.16022 -0.0193392
-02 1.16499 -0.0192683
-02 1.16999 -0.0192622
-02 1.17497 -0.0192717
-02 1.17996 -0.0192295
-02 1.18496 -0.019286
-02 1.19001 -0.0192742
-02 1.19499 -0.0191923
-02 1.19998 -0.0191538
-02 1.20528 -0.0192187
-02 1.20996 -0.0192319
-02 1.21497 -0.0191001
-02 1.21997 -0.0190289
-02 1.22498 -0.0190823
-02 1.24379 -0.0190776
-02 1.24381 -0.0190776
-02 1.24496 -0.0190876
-02 1.24995 -0.019012
-02 1.25496 -0.019051
-02 1.25997 -0.0190737
-02 1.26498 -0.0191045
-02 1.26997 -0.0190451
-02 1.27496 -0.0189905
-02 1.27996 -0.0190636
-02 1.28499 -0.0189557
-02 1.29006 -0.0189863
-02 1.29498 -0.0189095
-02 1.29998 -0.0189547
-02 1.30495 -0.0190263
-02 1.30996 -0.0189255
-02 1.32763 -0.0190907
-02 1.32764 -0.0190907
-02 1.32997 -0.0191094
-02 1.33496 -0.0192142
-02 1.33996 -0.019065
-02 1.34496 -0.0190503
-02 1.34996 -0.0191406
-02 1.35495 -0.0190561
-02 1.35999 -0.019071
-02 1.36499 -0.0192088
-02 1.36996 -0.0191015
-02 1.37495 -0.0192306
-02 1.37997 -0.0192013
-02 1.38495 -0.0193304
-02 1.38996 -0.0192382
-02 1.395 -0.0192498
-02 1.39996 -0.0191844
-02 1.40495 -0.0192393
-02 1.40995 -0.0192176
-02 1.41505 -0.0193712
-02 1.41997 -0.0193862
-02 1.42499 -0.0194746
-02 1.43 -0.019461
-02 1.43496 -0.0193372
-02 1.43997 -0.0194957
-02 1.44496 -0.0194619
-02 1.44996 -0.0194272
-02 1.45495 -0.0193869
-02 1.45997 -0.0194344
-02 1.46499 -0.0194043
-02 1.46995 -0.019489
-02 1.47496 -0.019462
-02 1.47997 -0.0195101
-02 1.48496 -0.0193532
-02 1.49 -0.0193919
